"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor T° total"
"25","791","Alonso HERRERA CARREÑO","Street race 250 cc","Cundinamarca","CLUB GIRARDOT RACING","Bajaj","1:25.894"
"26","233","Cristian Camilo BELLO GONZALEZ","Street race 250 cc","Tolima","CLUB PISTON RACING","Bajaj","1:26.157"
"27","801","Oscar David MURIEL RAMOS","Street race 250 cc","Putumayo","CLUB EXTREME RACING","TVS","1:26.265"
"28","417","Christian David CHAVARRO GALVIS","Street race 250 cc","Tolima","CLUB RADICAL RACING TEAM","Bajaj","1:26.279"
"29","367","Johon Alexsander FARFAN CRISTANCHO","Street race 250 cc","Tolima","CLUB PISTON RACING","Bajaj","1:26.304"
"30","538","Christian Anderson ROZO MENESES","Street race 250 cc","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Bajaj","1:26.351"
"31","263","Henry Alexander RODRIGUEZ CASTILLO","Street race 250 cc","Tolima","CLUB PISTON RACING","Bajaj","1:26.502"
"32","441","Joan MARTINEZ","Street race 250 cc","Cundinamarca","CLUB GIRARDOT RACING","Bajaj","1:26.518"
"33","371","Edna Lizeth ESCOBAR CORTES","Street race 250 cc","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Bajaj","1:26.553"
"34","314","Andres Felipe GONZALEZ CIFUENTES","Street race 250 cc","Meta","SUTA RACING CLUB","KTM","1:26.575"
"35","196","Carlos Eduardo FARIAS ACERO","Street race 250 cc","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Bajaj","1:26.922"
"36","548","Victor Alfonso ARCO RUSSI","Street race 250 cc","Cauca","CLUB CORONA CLUB XTREME PARK","Bajaj","1:27.014"
"37","472","Cristian Leonardo RINCON ORTIZ","Street race 250 cc","Bogotá D.C.","Todo terreno track","Bajaj","1:27.036"
"38","881","Jefferson Daniel CONTRERAS PINILLA","Street race 250 cc","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Bajaj","1:27.179"
"39","590","Giovanni Andres AREVALO SALCEDO","Street race 250 cc","Bogotá D.C.","Todo terreno track","Bajaj","1:27.416"
"40","808","Humberto CULMA MUÑOZ","Street race 250 cc","Tolima","CLUB PISTON RACING","Bajaj","1:27.584"
"41","238","Juan Felipe LOPEZ CUBIDES","Street race 250 cc","Bogotá D.C.","Racing pilots Academy","Bajaj","1:27.852"
"42","175","Edicson Andres LOPEZ LUIS","Street race 250 cc","Tolima","CLUB PISTON RACING","Bajaj","1:27.947"
"43","890","Jhonatan David SANCHEZ SANCHEZ","Street race 250 cc","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Bajaj","1:28.150"
"44","591","Paula Fernanda PEÑA HERNANDEZ","Street race 250 cc","Tolima","CLUB PISTON RACING","Bajaj","1:29.093"
"45","450","Derian Andres ROZO CASTIBLANCO","Street race 250 cc","Cundinamarca","LISTO PILOTO","Bajaj","1:29.913"
"46","733","Daniel Santiago MARTINEZ QUEVEDO","Street race 250 cc","Tolima","CLUB PISTON RACING","Bajaj","1:30.217"
"47","117","Sergio Iván GONZALEZ RUIZ","Street race 250 cc","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Bajaj","1:30.408"
"48","597","Victor Javier GUACHETA PIÑEROS","Street race 250 cc","Tolima","CLUB PISTON RACING","Bajaj","1:30.631"
"49","525","Angie Daniela SANTAMARIA MARIN","Street race 250 cc","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","Bajaj","1:31.182"
"50","823","Cristian David FRANCO CAMACHO","Street race 250 cc","Huila","CLUB MOTO JAPONESA","Bajaj","1:31.780"
"51","868","Liz Dayana LUNA GUTIERREZ","Street race 250 cc","Cundinamarca","CLUB GIRARDOT RACING","Bajaj","1:31.810"
"52","505-E","Miranda Valentina LA ROSA ACOSTA","Street race 250 cc","Bogotá D.C.","Todo terreno track","Bajaj","1:32.151"
"53","495","Santiago MARN MAYEN","Street race 250 cc","Bogotá D.C.","Club BOGOTA","Bajaj","1:32.395"
"54","500","Javier Eduardo CASADIEGOS LEAL","Street race 250 cc","Tolima","CLUB PISTON RACING","Yamaha","1:33.519"
"55","306","Natalia CORREDOR CRISTANCHO","Street race 250 cc","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Bajaj","1:33.724"
"56","328","Duban Yesid HERNANDEZ SECHAGUA","Street race 250 cc","Valle del Cauca","Dos Ruedas Racing Team","Bajaj","1:34.501"
"57","611","Edward Alejandro VIVAS RUIZ","Street race 250 cc","Bogotá D.C.","Racing pilots Academy","Bajaj","1:35.077"
"58","852","Alvaro Eduardo SANTACRUZ BARRERA","Street race 250 cc","Tolima","CLUB RADICAL RACING TEAM","Yamaha","1:36.030"
"59","743","Alvaro CANO POVEDA","Street race 250 cc","Antioquia","","","1:39.673"
"60","901","Yeferson Alexander MORALES LOPEZ","Street race 250 cc","Bogotá D.C.","Racing pilots Academy","Kawasaki","1:42.547"
