"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor T° total"
"54","792","Daniel Felipe BRICEÑO BAUTISTA","220 cc 4T","Cundinamarca","CLUB GIRARDOT RACING","Bajaj","1:29.831"
"55","796","William Gilberto GARCIA SIERRA","220 cc 4T","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Bajaj","1:31.562"
"56","594","Juan Diego ONOFRE","220 cc 4T","Tolima","CLUB PISTON RACING","Bajaj","1:31.641"
"57","138","Enrrique Alfonso FORERO CAÑON","220 cc 4T","Antioquia","Club Deportivo Terras de San Marinno","Bajaj","1:32.461"
"58","495","Santiago MARN MAYEN","220 cc 4T","Bogotá D.C.","Club BOGOTA","Bajaj","1:32.636"
"59","24","Juan Sebastian ROJAS MONROY","220 cc 4T","Tolima","CLUB PISTON RACING","Bajaj","1:33.972"
"60","927","Andres Felipe RODRIGUEZ RODRIGUEZ","220 cc 4T","Cundinamarca","LISTO PILOTO","Bajaj","1:34.081"
"61","500","Javier Eduardo CASADIEGOS LEAL","220 cc 4T","Tolima","CLUB PISTON RACING","Yamaha","1:34.118"
"62","505-E","Miranda Valentina LA ROSA ACOSTA","220 cc 4T","Bogotá D.C.","Todo terreno track","Bajaj","1:34.307"
"63","522","Carlos David BAEZ PALOMINO","220 cc 4T","Bogotá D.C.","Racing pilots Academy","Bajaj","1:36.346"
"64","201","Juan Camilo GELVEZ PABON","220 cc 4T","Tolima","CLUB PISTON RACING","Bajaj","1:37.187"
"65","852","Alvaro Eduardo SANTACRUZ BARRERA","220 cc 4T","Tolima","CLUB RADICAL RACING TEAM","AKT","1:37.482"
"66","672","Edgar Giovanny QUINTERO ACEVEDO","220 cc 4T","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","Bajaj","1:51.561"
"67","243","David Fernando  BURBANO GOMEZ","220 cc 4T","PUTUMAYO","","",""
"68","798","JAIVER ANDRES HOYOS MUÑOZ","220 cc 4T","PUTUMAYO","","",""
"69","528","Juan Andres MARIN ARANGO","220 cc 4T","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha",""
"70","430","Jolman Jhan Carlos RUIZ ENRIQUEZ","220 cc 4T","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha",""
"71","378","Eduwin Santiago GONZALEZ GARCIA","220 cc 4T","Tolima","CLUB PISTON RACING","Bajaj",""
"72","117","Sergio Iván González Ruiz","220 cc 4T","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Bajaj",""
